CASE QUANTITY,SKU,MSRP,84%,,,,73.50%,78%,81%
12,0667559299899,$15.95,$2.55,,,,$4.23,$3.51,$3.03
12,0667659313242,$15.95,$2.55,,,,$4.23,$3.51,$3.03
12,0667559299882,$15.95,$2.55,,,,$4.23,$3.51,$3.03
18,0667559299820,$17.95,$2.87,,,,$4.76,$3.95,$3.41
12,0667559282563,$15.95,$2.55,,,,$4.23,$3.51,$3.03
18,0667559282501,$17.95,$2.87,,,,$4.76,$3.95,$3.41
18,0667659311231,$17.95,$2.87,,,,$4.76,$3.95,$3.41
24,0667559282440,$17.95,$2.87,,,,$4.76,$3.95,$3.41
12,0667659322251,$18.95,$3.03,,,,$5.02,$4.17,$3.60
12,0667659330638,$16.95,$2.71,,,,$4.49,$3.73,$3.22
12,0667659330645,$16.95,$2.71,,,,$4.49,$3.73,$3.22
18,0667559282662,$15.95,$2.55,,,,$4.23,$3.51,$3.03
12,0667659330652,$16.95,$2.71,,,,$4.49,$3.73,$3.22
24,0667559299363,$17.95,$2.87,,,,$4.76,$3.95,$3.41
12,0667559299875,$15.95,$2.55,,,,$4.23,$3.51,$3.03
24,0667558216231,$16.95,$2.71,,,,$4.49,$3.73,$3.22
18,0667559299950,$15.95,$2.55,,,,$4.23,$3.51,$3.03
12,0667659320462,$16.95,$2.71,,,,$4.49,$3.73,$3.22
24,0667558216255,$16.95,$2.71,,,,$4.49,$3.73,$3.22
12,0667559279969,$14.95,$2.39,,,,$3.96,$3.29,$2.84
12,0667559265665,$14.95,$2.39,,,,$3.96,$3.29,$2.84
24,0667559288381,$17.95,$2.87,,,,$4.76,$3.95,$3.41
24,0667559299370,$17.95,$2.87,,,,$4.76,$3.95,$3.41
18,0667559299837,$17.95,$2.87,,,,$4.76,$3.95,$3.41
24,0667659322282,$18.95,$3.03,,,,$5.02,$4.17,$3.60
24,0667559294504,$16.95,$2.71,,,,$4.49,$3.73,$3.22
36,0667559279211,$18.95,$3.03,,,,$5.02,$4.17,$3.60
36,0667559294542,$16.95,$2.71,,,,$4.49,$3.73,$3.22
36,0667559272496,$16.95,$2.71,,,,$4.49,$3.73,$3.22
18,0667659311231,$17.95,$2.87,,,,$4.76,$3.95,$3.41
21,0667659311279,$15.95,$2.55,,,,$4.23,$3.51,$3.03
18,0667559299936,$15.95,$2.55,,,,$4.23,$3.51,$3.03
18,0667559299813,$17.95,$2.87,,,,$4.76,$3.95,$3.41
24,0667558216248,$16.95,$2.71,,,,$4.49,$3.73,$3.22
35,0667559139690,$18.95,$3.03,,,,$5.02,$4.17,$3.60
18,0667559261148,$17.95,$2.87,,,,$4.76,$3.95,$3.41
12,0667559261124,$15.95,$2.55,,,,$4.23,$3.51,$3.03
24,0667559281627,$17.95,$2.87,,,,$4.76,$3.95,$3.41
12,0667559281665,$17.95,$2.87,,,,$4.76,$3.95,$3.41
40,0667559273059,$17.95,$2.87,,,,$4.76,$3.95,$3.41
,,,,,,,,,
,,Average,$2.74,,,,,,